Size,Binary Tree,Iterative Division,Sidewinder,Modified Prim,RDFS,GT (Newest),True Prim,GT (Oldest),GT (Middle),GT (Mixed),GT (Random),Simplified Prim,Origin Shift,Hunt and Kill,Eller,Kruskal
100,"0,008","0,023","0,052",,"0,326","0,27",,"0,334","0,277","0,317","0,339",,5,"0,651","0,245","0,259"
200,,,,,,,,,,,,,22,5,3,3
300,,,,,,,,,,,,,51,17,16,15
400,,,,,,,,,,,,,92,71,53,55
500,,,,,,,,,,,,,142,140,129,130
600,,,,,,,,,,,,,204,272,348,338
700,,,,,,,,,,,,,279,501,673,667
800,,,,,,,,,,,,,366,700,1222,1226
900,,,,,,,,,,,,,470,1125,2111,2087
1000,"0,957",2,5,21,33,30,28,33,30,35,35,47,578,2639,3119,3198
2000,4,10,26,86,174,154,121,146,160,170,173,200,,,,
3000,9,21,61,197,399,328,278,338,335,357,377,456,,,,
4000,16,38,117,353,577,545,512,591,603,661,687,831,,,,
5000,24,60,185,569,925,917,822,873,999,1090,1142,1361,,,,
6000,45,85,196,808,1179,1261,1196,1368,1358,1514,1456,2183,,,,
7000,50,118,300,1110,1666,1723,1652,1793,1856,2073,2079,2961,,,,
8000,69,154,371,1466,2085,2252,2351,2395,2413,2784,2756,4587,,,,
9000,83,196,473,1870,2687,2785,N/A,3013,3130,3462,3505,4975,,,,
10000,103,242,540,2517,3256,3322,N/A,3712,3945,4187,4378,6326,,,,
