Size,Left Hand,Right Hand,Random Mouse,Pledge Left,Pledge Right,Dead End Filler,Depth First Search,Breadth First Search,Greedy Best First Search,A*
10,45.056,16.384,20.48,20.48,16.384,122.88,90.112,98.304,98.304,135.168
20,69.632,225.28,28.672,24.576,28.672,147.456,102.4,135.168,106.496,331.776
30,81.92,573.44,32.768,20.48,32.768,180.224,131.072,307.2,106.496,651.264
40,196.608,983.04,49.152,24.576,32.768,192.512,106.496,585.728,126.976,1196.032
50,126.976,1400.832,81.92,28.672,36.864,237.568,147.456,622.592,139.264,1552.384
60,196.608,2228.224,73.728,32.768,94.208,286.72,135.168,1110.016,143.36,1417.216
70,757.76,2424.832,49.152,98.304,81.92,421.888,237.568,1273.856,376.832,1880.064
80,331.776,2928.64,380.928,36.864,253.952,503.808,221.184,864.256,192.512,1363.968
90,491.52,2654.208,524.288,73.728,364.544,491.52,270.336,1060.864,319.488,3301.376
100,1126.4,3137.536,520.192,307.2,458.752,618.496,237.568,1327.104,589.824,3239.936
