Size,Left Hand,Right Hand,Random Mouse,Pledge Left,Pledge Right,Dead End Filler,Depth First Search,Breadth First Search,Greedy Best First Search,A*
10,0.00098,0.00291,0.01551,0.00091,0.00499,0.14489,0.0036,0.00374,0.00179,0.00322
20,0.00166,0.0148,0.36961,0.00127,0.01931,0.80736,0.01726,0.01488,0.00203,0.01533
30,0.00478,0.02276,0.70919,0.0063,0.03355,2.39667,0.03305,0.02993,0.0067,0.02908
40,0.00364,0.04482,1.43531,0.00484,0.06712,6.11159,0.06509,0.05035,0.00481,0.04899
50,0.00803,0.073,12.65809,0.01162,0.11683,10.31792,0.10325,0.0924,0.01054,0.07982
60,0.01634,0.09653,5.43268,0.02878,0.1853,17.87348,0.14205,0.12261,0.01784,0.12346
70,0.01463,0.13162,6.47496,0.02737,0.25526,29.37791,0.20194,0.1816,0.01928,0.17697
80,0.02554,0.17015,13.78381,0.05425,0.36627,41.94013,0.2634,0.23848,0.0323,0.23721
90,0.02001,0.22445,33.46397,0.03899,0.46366,62.81947,0.32712,0.28651,0.02769,0.29165
100,0.03489,0.30626,57.44441,0.06834,0.63206,89.81582,0.39804,0.35924,0.04271,0.35275
